번호	문제	정답	선지1	선지2	선지3
239	\(\bigg($9 \over 10 $\bigg) × \bigg(- $15 \over 3 $\bigg)^2	\(-$5 \over 2 $	\(-$5 \over 3 $	\($5 \over 3 $	\($5 \over 2 $
240	\($5 \over 4 $ ÷ \bigg(- $15 \over 8 $\bigg)	\(-$2 \over 3 $	\(-$1 \over 3 $	\($1 \over 3 $	\($2 \over 3 $
241	\(\bigg(- $6 \over 5 $\bigg) ÷ 12 × $4 \over 3 $	\(-$2 \over 5 $	\(-$4 \over 15 $	\($2 \over 5 $	\($4 \over 15 $
242	\($4 \over 3 $ × \bigg(- $6 \over 5 $\bigg) ÷ 12	\(-$2 \over 5 $	\(-$4 \over 15 $	\($2 \over 5 $	\($4 \over 15 $
243	\($2 \over 5 $ × (-10) ÷ (-16)	\($1 \over 4 $	\(-$1 \over 5 $	\($1 \over 5 $	\(-$1 \over 4 $
244	\((-10) × $2 \over 5 $ ÷ (-16)	\($1 \over 4 $	\(-$1 \over 5 $	\($1 \over 5 $	\(-$1 \over 4 $
245	\(\bigg(- $6 \over 5 $\bigg) ÷ (-3)^2 × 10	\(-$4 \over 3 $	\(-$2 \over 5 $	\($1 \over 5 $	\($4 \over 3 $
246	\(10 × \bigg(- $6 \over 5 $\bigg) ÷ (-3)^2	\(-$4 \over 3 $	\(-$2 \over 5 $	\($1 \over 5 $	\($4 \over 3 $
247	\($3 \over 4 $ × $5 \over 3 $ ÷ \bigg(- $5 \over 4 $\bigg)^2	\($4 \over 5 $	\(-$4 \over 5 $	\(-$3 \over 5 $	\($1 \over 5 $
248	\($5 \over 3 $ × $3 \over 4 $ ÷ \bigg(- $5 \over 4 $\bigg)^2	\($4 \over 5 $	\(-$4 \over 5 $	\(-$3 \over 5 $	\($1 \over 5 $
249	\(\bigg(- $12 \over 5 $\bigg) × (-3) ÷ (-3)^2	\($4 \over 5 $	\(-$4 \over 5 $	\(-$3 \over 5 $	\($1 \over 5 $
250	\((-3) × \bigg(- $12 \over 5 $\bigg) ÷ (-3)^2	\($4 \over 5 $	\(-$4 \over 5 $	\(-$3 \over 5 $	\($1 \over 5 $
251	\(3 + (-2)^3 × (-3)	27	\(-18	9	\(-27
252	\((-2)^3 × (-3) + 3	27	\(-18	9	\(-27
253	\(4 - (-2)^2 ÷ 6	\($10 \over 3 $	\(-$1 \over 3 $	\($1 \over 6 $	\($10 \over 3 $
254	\(4 + (-2)^2 ÷ 6	\($14 \over 3 $	\(\(-$1 \over 3 $	\($1 \over 6 $	\($10 \over 3 $
255	\((-5)^2 × \bigg(+ $9 \over 5 $\bigg) - 10 	\(-35	\(-25	25	35
256	\(10 - (-5 )^2 × \bigg(+ $9 \over 5 $\bigg)	\(-35	-25	25	35
257	\($1 \over 12 $ - 12 ÷ (-3)^2	\(-$5 \over 4 $	\(-$1 \over 3 $	\($1 \over 4 $	\($3 \over 4 $
258	\(1 - (-12) ÷ (-3)^2	\($7 \over 3 $	\($1 \over 3 $	\($5 \over 3 $	\($13 \over 3 $
259	\(3 - (-12) ÷ (-3)^2	\($13 \over 3 $	\($1 \over 3 $	\($5 \over 3 $	\($7 \over 3 $
260	\((-2)^3 × $9 \over 4 $ - 3	\(-19	\(-21	19	21
261	\((-2)^3 × $9 \over 4 $ - 1	\(-19	\(-21	19	21
262	\(0.5 + (-4)^2 ÷ 12	\($11 \over 6 $	\($5 \over 6 $	\($7 \over 6 $	\($3 \over 2$
263	\($7 \over 6 $ ÷ 10.5 - 11 ÷ (-3 )^2	\(-$10 \over 9 $	\(-$7 \over 9 $	\($1 \over 9 $	\($5 \over 9 $
264	\($1 \over 3 $ + $5 \over 4 $ ÷ (-3)	\(-$1 \over 12 $	\(-$1 \over 6 $	\($1 \over 12 $	\($1 \over 6 $
265	\(1 - \bigg(- $19 \over 5 $\bigg) × \bigg(- $1 \over 3 $\bigg) 	\(-$4 \over 15 $	\(-$2 \over 5 $	\($4 \over 15 $	\($3 \over 15 $
266	\(2 + (-4) ÷ (-2)^2	1	\(-2	\(-1	2
267	\((-4) ÷ (-2)^2 + 2	1	\(-2	\(-1	2
268	\($1 \over 3 $ - (-6) ÷ 9	1	\(-$2 \over3 $	$1 \over 3 $	\(-1
269	\((-6) ÷ 9 - $1 \over 3 $	1	\(-1	\(-$2 \over 3 $	\($1 \over 3 $
270	\((-2)^2 × $5 \over 2 $ - (-3)^2	\(-1	\(-$1 \over 2 $	\($1 \over 2 $	1
271	\((-3)^2 - (-2)^2 × $5 \over 2$	\(-1	\(-$1 \over 2 $	$1 \over 2 $	1
272	\($7 \over 3 $ ÷ 14 - 7 ÷ 6	\(-1	\(-$ 1 \over 3 $	\($1 \over 3 $	1
273	\((-3) ÷ $3 \over 4 $ - \bigg(- $2 \over 3 $\bigg)^2 × 18	\(-12	\(-6	6	12
274	\(5 - \left[(-11) + \left\{2 - (3-5)\right\}\right]	12	7	10	14
275	\(8 - \left[2 - \left\{2 × 4 - 1 -(-2)\right\}\right]	15	10	13	17
276	\((-5) - \left[2 - \left\{(3 - 12 ÷ 2) - 1\right\}\right]	\(-11	\(-13	11	15
277	\(0.5 + \bigg(- $7 \over 8 $\bigg) × (-2)^2 + 4	1	\($1 \over 4 $	\($1 \over 2 $	\($5 \over 4 $
278	\($5 \over 2 $ + (-6) × $7 \over 9 $ + (-2)^2 ÷ 6	\(-$3 \over 2 $	\(-$5 \over 2 $	\($5 \over 2 $	\($5 \over 2 $
279	\((5 - 27 ÷ 3^2) × (-4)	\(-8	\(-4	4	8
280	\((-4) × (5 -27 ÷ 3^2)	\(-8	\(-4	4	8
281	\(\left[5 - \left\{3 - (2 × 3 - 5)\right\}\right] + (-2)	1	\(-2	\(-1	2
282	\((-2) + \left[5 - \left\{3 - (2 × 3 - 5)\right\}\right]	1	\(-2	\(-1	2
283	\(5 - \left[\bigg(- $2 \over 3 $\bigg) + \left\{3 - 2^2 × (4 - 3)\right\}\right]	\($20 \over 3 $	6	\($14 \over 3 $	\($1 \over 3 $
284	\((-5) - \left[5 - \left\{(-4) × 3 - 23\right\}\right]	\(-90	\(-45	35	50
285	\((-2) - \left[$3 \over 2 $ - \left\{$3 \over 4 $ ÷ \bigg(3 -  $7 \over 2 $\bigg)\right\}\right]	\(-5	\(-$3 \over 2 $	\(-$1 \over 2 $	3
286	\(2 - \left[(-2) ÷ \bigg(- $1 \over 2 $\bigg) + \left\{3 - 4 ×  $5 \over 6 $\big\right\}\right]	\(-$5 \over 3 $	\(-$1 \over 3 $	\($2 \over 3 $	\($4 \over 3 $
287	\((-1) - \left[4 - \left\{(-3) × (-4) + (-5)\right\}\right]	2	\(-3	\(-2	3
288	\(\left[4 - \left\{(-3) × (-4) + (-5)\right\}\right] - (-1)	\(-2	\(-3	2	3
289	\($1 \over 2 $ + (-1) ÷ \left\{6 -  (-2)^2\right\}	0	\(-$1 \over 2 $	\(-$1 \over 4 $	\($1 \over 2 $
290	\((-1) ÷ \left\{6 - (-2 )^2\right\} + $1 \over 2 $	0	\(-$1 \over 2 $	\(-$1 \over 4 $	\($1 \over 2 $
291	\((-7) - \left[(-3) + \left\{1 - 2^2 × (-3)\right\}\right]	\(-17	\(-24	17	24
292	\($7 \over 3 $ - \left[$2 \over 3 $ + \left\{2 × $4 \over 3 $ -1 - \bigg(- $5 \over 6 $ \bigg) \right\}\right]	\(-$5 \over 6 $ 	\(-$7 \over 6 $ 	\($1 \over 6 $ 	\($5 \over 6 $ 
293	\(1 - \left[ \bigg(- $3 \over 5 $ \bigg) + \left\{1 - \bigg(- $3 \over 2 $ \bigg)^2 ÷ 18\right\}\right]	\(- $29 \over 40 $	\(- $1 \over 40 $	\(- $3 \over 40 $	\(- $7 \over 40 $
294	\(6 ÷ \left[\left\{\big(-2) + \bigg( 1 - 3^2 ÷ $7 \over 4 $ \bigg)   \right\}\ - (-3)\right]	\(-$3 \over 8 $ 	\(-$5 \over 8 $	\(-$1 \over 8 $ 	\(-$1 \over 2 $ 
295	\((-2) X \left[(-2)^3 - \left\{(-1) - 2 ÷ \bigg(- $1 \over 6 $ \bigg )\right\}}\right]	38	\(-12	\(-6	12
296	\(\left[(-2)^3 - \left\{(-1) - 2 ÷ \bigg(- $1 \over 6 $ \bigg)\right\}\right] × (-2)	38	\(-12	\(-6	12
297	\(\left[\bigg(- $3 \over 2 $ \bigg ) - (-1)^3 ÷ \left\{5 × (-1)^2 + 6\right\}\right] × 2 - 1	-2	\(-$3 \over 2 $	2	5
298	\(1 - \left[\bigg(- $3 \over 2 $ \bigg) - (-1)^3 ÷ \left\{5 × (-1)^2 + 6\right\}\right] × 2  	2	\(-2	\(-$3 \over 2 $	5
299	\((-2) - \left[\left\{5 - 12 ÷ \bigg(- $2 \over 3 $ \bigg)^2\right\} + 24 \right] ÷ 2  	\(-3	-12	3	9
300	\(\left[\left\{5 - 12 ÷ \bigg(- $2 \over 3 $ \bigg)^2\right\} + 24  \right] ÷ 2 - (-2)   	3	\(-12	\(-3	9
